;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Izano, Gerardo da Izano, 4/C;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;2;2;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Madignano, Portici, 4;3;0;0;1;0;0;0;0;0;2;0;5;0;1;32;0;3;4;2;1;1;1;2;0;0;1;5;1;16;1;0;1;5;2;4;3;1;1;45;0;0;4;0;2;0;0;3;0;1;0;0;2;6;2;3;0;0;1;0;2;0;0;0;2
Martignana di Po, Libertà, 64;3;0;0;1;2;2;3;0;0;2;0;4;1;2;44;1;3;0;4;0;1;0;5;0;6;0;2;4;9;2;0;0;8;5;2;0;2;1;26;0;1;8;0;2;0;0;2;0;1;0;1;7;8;1;4;5;0;0;0;0;0;0;0;5
Monte Cremasco, Roma, 12;0;0;1;0;0;0;0;0;0;0;0;1;2;2;23;2;0;0;0;1;1;0;0;0;1;0;0;0;7;0;0;1;3;2;0;2;3;0;10;0;0;1;1;2;1;0;0;0;1;0;0;2;5;1;1;3;0;0;0;0;0;0;0;1
Montodine,  XXV Aprile, 10;0;0;0;0;0;0;0;0;0;1;0;2;0;5;9;1;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;9;0;0;1;0;2;0;0;0;0;1;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0
Offanengo, Clavelli Martini, 5;14;0;6;8;3;5;15;5;1;9;0;32;2;14;245;10;8;2;4;12;2;2;20;1;26;1;43;29;0;4;0;16;41;19;20;8;14;10;148;0;6;20;0;13;10;0;16;0;12;2;14;40;44;26;13;19;6;1;0;7;0;3;0;17
Ostiano, Mazzini, 1;4;0;2;0;0;1;1;0;0;2;0;1;0;1;16;1;2;0;0;0;0;1;3;0;0;0;6;1;5;0;0;0;6;3;3;1;0;1;18;0;0;1;0;2;0;0;1;0;0;0;0;5;1;0;0;1;0;0;0;0;0;0;0;2
Paderno Ponchielli, Municipio, 3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Palazzo Pignano, Marco Polo, 31;12;0;0;1;1;2;2;3;1;6;0;10;0;1;81;0;10;0;3;3;0;0;7;1;14;1;8;10;31;0;0;0;11;6;6;7;12;9;19;0;5;5;0;2;0;0;5;0;6;0;3;19;15;8;5;7;3;0;0;2;0;0;2;3
Pandino, Castello, 15;2;1;1;2;1;0;1;3;0;0;0;10;0;2;62;4;4;0;2;1;0;0;2;0;6;0;9;6;18;0;0;5;0;4;6;6;3;1;34;0;1;8;0;5;0;0;1;0;6;0;1;8;4;3;0;3;1;0;0;8;0;0;0;4
Persico Dosimo, Albert ,7;1;0;1;0;0;0;0;1;0;0;0;5;0;2;23;0;1;0;0;1;0;0;1;0;1;0;0;5;3;0;0;0;0;0;3;0;0;0;14;0;0;1;0;1;0;0;7;0;1;0;1;5;5;1;0;1;0;0;0;1;0;0;0;5
Pescarolo ed Uniti, Giuseppe Mazzini, 73;6;0;1;5;1;1;4;2;1;4;0;8;0;6;63;1;4;1;1;4;1;1;5;0;8;1;13;12;16;0;0;1;9;2;0;4;4;5;32;0;0;11;0;1;0;0;7;0;5;0;4;7;14;7;5;2;0;0;0;1;0;0;0;9
Piadena, Platina, 40;6;1;2;3;0;1;3;1;0;6;0;8;1;10;127;6;8;4;2;0;2;0;7;0;6;8;4;3;25;2;0;4;17;17;8;0;11;3;83;0;1;6;0;7;2;0;11;0;3;0;8;9;16;16;5;5;1;4;0;2;0;0;0;9
Pianengo, Nenni;2;0;0;3;1;0;1;0;0;0;0;4;0;1;46;2;3;1;0;0;0;1;2;0;5;0;6;2;16;0;0;5;4;0;3;1;0;1;22;0;3;2;0;1;2;0;1;0;2;2;2;5;1;2;3;6;1;0;0;2;2;0;0;0
Pizzighettone, Giuseppe Garibaldi, 18;0;0;3;5;0;2;2;0;0;0;0;6;0;1;54;2;0;0;0;0;1;0;1;0;3;1;7;2;14;0;0;1;11;4;1;7;3;0;72;0;0;3;0;2;0;0;2;0;1;1;1;5;5;8;2;5;3;0;0;1;0;1;0;1
Manerbio, INSURREZIONE NAZIONALE;138;3;56;53;18;83;64;41;2;157;0;164;17;80;3600;123;88;35;24;33;31;12;113;10;201;33;144;96;581;16;3;57;206;184;114;148;104;71;0;0;67;149;7;247;52;0;122;0;91;3;104;463;305;191;104;90;73;17;2;77;11;9;2;214
Viadana, A. Manzoni, 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ricengo, Guglielmo Marconi;1;0;0;0;0;1;1;0;0;0;0;1;0;0;24;1;2;0;0;0;0;0;3;0;1;0;0;4;5;0;0;1;1;1;1;1;1;0;22;0;0;4;0;1;0;0;0;0;2;0;0;2;3;3;0;2;0;0;0;0;0;0;0;1
Ripalta Cremasca, Roma, 5;0;0;0;0;1;0;1;0;0;0;0;5;0;0;13;2;0;0;0;0;0;0;3;0;1;0;2;0;12;0;0;3;0;1;1;0;0;1;24;0;0;0;0;1;1;0;0;0;1;0;0;5;5;3;0;1;2;0;0;0;0;0;0;0
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rivolta d'Adda, Stefano Renzi, 5;17;1;10;6;1;11;6;14;0;22;0;30;0;6;337;24;11;7;6;2;2;0;15;0;24;2;18;11;59;0;4;14;27;43;11;18;17;9;282;0;8;16;3;0;3;0;8;0;16;1;9;57;42;13;20;13;2;4;1;5;1;1;1;31
Romanengo, Guaiarini, 14;1;0;0;2;0;0;1;0;0;3;0;1;0;2;23;0;1;0;0;0;0;1;1;0;5;2;5;2;8;0;1;2;7;1;2;2;2;2;18;0;0;2;0;3;0;0;1;0;1;0;1;3;5;3;1;5;0;0;0;1;0;0;0;3
San Bassano, Mons. Frosi;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
San Giovanni in Croce, Feudatari, 25 A;9;0;2;4;0;0;3;2;0;1;0;4;0;4;71;3;4;2;0;0;2;0;4;0;3;2;4;7;24;0;1;8;10;7;7;3;5;5;40;0;1;8;0;3;1;0;0;0;2;0;5;16;8;7;4;6;3;0;0;3;0;0;0;2
Scandolara Ravara, Italia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sergnano, IV Novembre,  10;6;0;3;1;2;1;4;8;0;13;0;18;0;11;138;8;5;3;1;4;4;1;12;1;11;2;21;8;55;1;0;3;18;17;15;9;8;5;63;0;1;16;3;7;4;0;9;0;0;0;2;23;23;9;6;15;1;0;0;6;2;1;0;6
Sesto ed Uniti, Roma, 4;0;0;0;0;1;0;0;0;0;0;0;1;0;1;5;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;0;0;0;0;0;0;0;3;0;0;0;1;2;1;1;0;1;1;0;0;0;0;0;0;0
Solarolo Rainerio, Giuseppina, 81;5;0;2;1;1;0;7;1;0;3;0;8;2;8;74;5;6;0;0;6;0;0;2;0;5;2;18;5;26;1;0;2;6;8;8;1;8;9;30;0;0;4;0;1;4;0;7;0;4;0;0;15;12;10;4;4;1;1;0;0;0;0;0;4
Soncino, Dante Alighieri, 23;5;0;0;2;0;0;1;2;1;6;0;4;0;0;49;5;1;0;0;1;0;0;1;0;7;1;4;0;9;0;0;5;2;4;5;3;7;2;52;0;2;5;1;4;2;0;2;0;1;0;2;0;14;4;1;4;2;0;0;2;0;0;0;5
Soresina, Giacomo Matteotti, 6;5;0;1;1;0;0;0;2;0;5;0;5;2;2;62;4;2;1;2;1;1;1;2;0;8;1;11;6;9;0;0;2;7;5;3;3;6;4;64;0;0;5;0;4;2;0;4;0;3;0;0;12;0;5;2;3;0;0;0;1;0;0;0;6
Sospiro, Tosi;4;0;0;1;1;1;1;0;0;1;0;1;0;1;15;0;0;0;0;0;0;0;1;0;2;1;1;2;3;0;0;1;2;2;0;2;3;1;12;0;0;3;0;0;0;0;1;0;2;0;1;3;4;0;1;0;1;0;0;0;0;0;0;1
Spino d'Adda, Circonvallazione, 13;8;0;0;3;1;3;2;3;0;3;0;24;0;6;97;10;8;2;0;5;1;1;8;0;12;1;36;6;21;2;1;8;20;4;5;3;10;2;39;0;1;14;1;11;1;0;4;0;4;0;3;18;16;15;0;8;4;0;0;2;0;1;0;7
Trescore Cremasco, Vittorio Veneto, 1;4;0;1;0;0;0;0;1;0;1;0;4;0;1;40;4;2;1;0;0;0;0;4;0;8;0;3;2;12;0;0;5;6;3;3;0;6;0;25;0;0;6;0;4;1;0;1;0;1;0;0;4;4;4;2;0;0;0;0;0;0;0;0;4
Trigolo, Roma, 26;3;0;1;3;1;0;0;0;0;0;0;2;0;0;20;0;1;0;0;0;2;0;1;0;1;0;3;3;6;0;0;3;0;4;1;1;0;2;6;0;1;3;0;1;0;0;0;0;2;1;0;2;5;0;1;0;0;0;0;0;0;0;0;0
Vaiano Cremasco,  Gloriosi Caduti, 3;1;0;0;0;0;0;1;1;0;0;0;2;0;0;24;0;0;0;0;0;0;0;0;0;1;0;0;1;6;0;0;0;1;2;1;0;0;0;18;0;2;3;0;1;0;0;0;0;1;0;2;5;1;1;2;1;0;0;0;1;1;0;0;1
Vailate, Dante Alighieri, 7;4;0;0;1;0;0;1;0;0;0;0;1;0;0;32;1;2;1;0;0;0;0;5;0;0;0;4;1;12;0;0;3;2;3;1;1;2;1;40;0;0;2;0;3;0;0;2;0;2;0;1;2;5;4;3;4;2;2;0;2;0;0;0;0
Vescovato, Roma, 44;4;0;2;3;1;1;1;1;0;3;0;3;0;5;68;1;1;0;3;4;1;0;0;0;5;2;3;5;5;4;0;4;9;4;2;4;4;2;46;0;1;2;1;7;0;0;5;0;2;0;1;12;10;7;6;0;0;0;0;0;1;0;0;1
Cremona, Felice Cavallotti, 2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
Cremona, Palosca n. 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Casaletto Vaprio, Maggiore, 7;0;0;1;0;0;0;1;0;0;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;2;0;1;0;4;0;2;2;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0
Cremona, Sesto 39;0;0;0;0;0;0;1;0;0;1;0;0;0;0;12;0;0;1;0;0;0;0;0;0;2;0;1;0;2;0;0;0;0;1;1;0;0;0;26;0;0;0;0;3;0;0;1;0;1;0;1;9;5;2;1;0;0;0;0;1;0;0;0;0
