;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Isola Dovarese, Giacomo Matteotti, 1;2;0;1;1;0;0;0;0;0;1;0;1;0;3;16;0;1;0;0;0;0;0;0;1;2;1;0;1;5;0;0;0;3;2;0;1;0;3;12;0;0;0;0;2;0;0;2;0;0;0;1;3;4;0;2;4;0;1;0;1;0;0;0;1
Izano, Gerardo da Izano, 4/C;2;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;2;3;0;1;0;0;0;0;0;1;1;0;0;6;0;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
Madignano, Portici, 4;4;0;4;0;0;1;8;0;1;5;0;3;0;4;48;1;2;0;0;1;0;5;1;0;0;1;20;0;21;0;0;1;6;4;4;3;1;1;40;0;8;4;0;7;1;0;4;0;1;0;1;4;8;1;3;3;0;2;0;1;1;0;0;2
Martignana di Po, Libertà, 64;1;1;2;2;0;1;5;0;0;1;0;6;0;6;36;0;1;0;0;2;0;2;0;0;5;0;4;4;14;0;0;2;5;1;6;1;1;0;26;0;6;2;0;1;3;0;2;0;1;0;0;3;1;1;1;1;0;2;0;1;0;0;0;2
Monte Cremasco, Roma, 12;2;0;2;0;0;2;0;1;0;1;0;2;0;0;21;0;2;0;0;0;0;0;1;1;2;0;0;1;7;0;0;2;9;0;0;0;1;1;4;0;1;1;0;2;0;0;0;0;1;0;0;2;3;2;4;1;0;0;0;1;0;0;0;0
Montodine,  XXV Aprile, 10;0;0;2;0;0;0;0;2;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;1;1;0;4;0;0;0;2;1;2;0;0;0;12;0;1;0;0;0;1;0;0;0;0;0;0;2;3;1;0;2;0;1;0;1;0;0;0;0
Offanengo, Clavelli Martini, 5;14;4;17;5;1;10;17;5;1;5;0;24;0;12;217;10;16;1;1;1;2;7;7;1;45;16;88;21;0;0;0;8;53;16;17;22;13;5;125;0;14;20;4;8;7;1;13;0;17;0;7;49;32;8;31;23;1;15;0;12;1;2;0;11
Ostiano, Mazzini, 1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;17;0;0;0;1;0;0;3;1;0;1;1;0;1;8;0;0;0;3;3;2;0;0;1;10;0;2;2;1;1;0;0;4;0;0;0;0;2;1;0;3;1;0;0;0;0;0;0;0;1
Paderno Ponchielli, Municipio, 3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1
Palazzo Pignano, Marco Polo, 31;1;1;1;1;0;2;2;0;0;0;0;0;1;3;49;2;2;1;0;1;0;0;0;0;2;0;14;3;17;0;0;0;6;1;7;1;1;1;19;0;1;0;0;2;1;0;5;0;1;0;4;4;5;1;11;1;0;3;0;1;0;0;0;2
Pandino, Castello, 15;5;1;10;0;0;3;8;0;0;0;0;7;1;3;52;4;3;0;1;0;0;3;0;2;6;0;12;2;22;0;0;3;0;7;4;5;5;1;42;0;8;4;1;4;0;0;4;0;2;0;5;6;7;4;10;3;0;1;0;3;0;0;0;1
Persico Dosimo, Albert ,7;2;1;0;0;0;1;0;1;0;0;0;4;0;2;25;0;0;0;0;1;0;0;1;0;0;1;2;0;10;0;0;0;4;0;1;0;1;0;11;0;0;0;0;1;0;0;2;0;1;0;0;1;2;0;1;1;0;1;0;1;0;0;0;2
Pescarolo ed Uniti, Giuseppe Mazzini, 73;3;2;4;6;0;4;4;0;0;1;0;11;0;7;49;4;2;1;0;1;1;2;3;0;8;0;18;7;25;0;0;0;10;1;0;5;7;2;20;0;13;5;3;2;1;0;4;0;5;0;7;17;10;2;4;6;1;6;0;3;0;0;0;1
Piadena, Platina, 40;2;0;8;8;0;3;11;0;0;3;0;7;1;12;115;7;5;1;0;1;1;3;7;0;9;5;15;2;23;0;0;2;15;6;7;0;5;3;83;0;9;3;3;4;3;0;14;0;2;0;0;16;13;10;12;6;1;1;0;1;0;0;0;8
Pianengo, Nenni;4;1;2;2;0;2;4;0;0;3;0;4;2;0;37;3;0;0;0;0;1;2;2;1;3;0;7;1;20;0;0;0;10;1;4;2;0;0;22;0;3;6;2;2;0;0;1;0;3;0;1;8;5;5;2;5;0;3;0;2;1;0;0;2
Pizzighettone, Giuseppe Garibaldi, 18;2;2;9;6;0;0;5;1;0;2;0;3;0;5;49;6;6;0;0;0;1;2;2;0;9;0;4;0;19;0;0;0;9;0;5;2;7;0;85;0;4;3;1;3;2;0;10;0;2;1;4;6;7;6;10;2;0;5;0;1;0;0;0;7
Manerbio, INSURREZIONE NAZIONALE;98;8;182;69;9;78;184;35;3;129;0;164;11;78;3134;118;75;23;17;18;6;64;72;2;267;63;194;54;742;3;3;37;236;141;116;178;97;59;0;0;185;122;9;275;45;0;123;0;115;6;68;358;218;130;166;98;18;113;5;41;14;6;2;155
Viadana, A. Manzoni, 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ricengo, Guglielmo Marconi;4;1;3;0;0;3;5;0;0;0;0;4;1;0;23;3;1;0;0;0;0;3;1;0;4;1;17;1;15;0;0;1;7;0;0;2;1;3;16;0;0;2;2;1;0;0;1;0;0;0;5;6;5;1;4;3;0;0;0;1;0;0;1;2
Ripalta Cremasca, Roma, 5;1;0;1;0;0;1;1;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;1;1;1;0;3;0;0;0;3;0;0;1;0;0;22;0;1;0;1;3;1;0;2;0;1;0;0;4;2;1;0;21;0;0;0;1;1;0;0;0
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rivolta d'Adda, Stefano Renzi, 5;8;0;28;8;0;10;9;7;0;9;0;20;4;13;309;13;14;2;2;1;0;6;11;0;26;5;16;12;81;0;0;4;22;17;7;26;10;7;266;0;23;11;2;0;9;0;12;0;15;1;8;66;25;10;20;10;0;9;0;6;1;0;0;21
Romanengo, Guaiarini, 14;4;0;1;0;0;1;0;0;0;1;0;1;1;2;15;1;2;0;0;0;0;2;0;0;3;1;5;0;11;0;0;0;11;2;2;1;2;1;13;0;3;4;0;0;0;0;1;0;2;0;0;8;4;0;2;0;0;1;0;0;1;0;0;2
San Bassano, Mons. Frosi;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
San Giovanni in Croce, Feudatari, 25 A;2;2;5;3;1;1;7;0;0;1;0;3;0;2;55;3;4;1;1;1;0;1;1;0;8;1;12;2;27;0;0;0;9;1;14;1;5;0;35;0;4;2;0;0;2;0;0;0;2;0;1;9;6;6;4;5;0;1;0;4;0;0;0;8
Scandolara Ravara, Italia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sergnano, IV Novembre,  10;13;3;21;4;0;5;18;3;1;4;0;7;3;11;148;6;10;1;0;4;0;7;6;0;22;3;34;9;64;0;0;1;23;5;10;21;11;4;63;0;10;9;4;7;8;0;5;0;0;0;4;30;22;7;18;5;1;7;0;5;0;1;0;8
Sesto ed Uniti, Roma, 4;0;0;0;0;0;0;0;0;0;0;0;1;1;1;5;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;2;0;1;2;0;0;0;0;0;0;0;0;0;1;4;0;0;1;0;1;0;0;0;0;0;2
Solarolo Rainerio, Giuseppina, 81;2;2;5;1;1;3;5;1;0;5;0;12;0;13;63;2;4;0;1;4;1;1;5;0;9;3;16;3;33;0;0;0;10;7;2;4;7;7;27;0;6;5;1;4;2;0;6;0;1;0;0;12;9;1;6;4;3;5;0;3;0;0;0;1
Soncino, Dante Alighieri, 23;5;1;3;2;0;4;3;0;0;1;0;3;0;4;61;5;2;2;1;1;0;1;1;0;10;0;6;1;24;0;0;0;19;5;0;2;5;2;56;0;3;4;0;5;2;0;1;0;3;0;2;0;10;3;3;2;0;2;0;1;0;1;1;3
Soresina, Giacomo Matteotti, 6;0;3;3;1;0;5;3;6;0;1;0;2;0;1;48;6;2;0;1;1;0;4;3;0;12;2;5;1;24;0;0;1;9;2;3;3;1;0;44;0;0;6;0;3;0;0;5;0;2;0;0;4;0;1;4;3;1;5;0;1;1;0;0;1
Sospiro, Tosi;1;0;2;0;0;0;2;0;0;0;0;2;0;3;15;0;1;0;0;0;0;1;1;0;3;2;3;0;3;0;0;0;4;0;1;0;2;0;14;0;2;0;0;1;0;0;1;0;2;0;2;0;4;0;2;2;0;0;0;0;0;0;0;3
Spino d'Adda, Circonvallazione, 13;10;1;18;1;0;3;9;1;0;2;0;11;0;8;94;5;3;0;0;0;0;3;3;0;7;1;23;4;43;0;0;4;21;3;7;5;9;2;39;0;12;9;0;6;1;0;6;0;4;0;5;16;13;4;0;6;1;8;0;1;1;2;0;7
Trescore Cremasco, Vittorio Veneto, 1;2;1;2;1;0;3;5;0;0;0;0;2;0;0;36;2;0;0;1;0;0;1;2;0;2;0;1;0;11;0;0;0;5;2;1;2;1;0;29;0;1;0;0;3;0;0;3;0;2;0;0;7;2;1;1;0;1;1;0;2;0;0;0;4
Trigolo, Roma, 26;2;1;1;0;0;1;2;0;0;0;0;3;0;2;11;0;0;0;0;0;0;0;0;0;1;1;5;0;10;0;0;0;3;1;1;3;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;2
Vaiano Cremasco,  Gloriosi Caduti, 3;0;1;3;2;0;1;4;0;0;0;0;5;0;3;24;0;2;0;1;0;0;3;1;0;1;1;4;2;12;0;0;0;1;2;1;0;2;0;14;0;1;0;0;1;1;0;2;0;0;0;0;2;0;2;0;2;0;0;0;1;0;0;0;0
Vailate, Dante Alighieri, 7;3;0;3;0;0;0;0;1;0;0;0;5;0;0;26;0;0;1;0;0;0;0;2;0;3;0;1;0;11;0;0;1;4;1;2;0;2;0;32;0;1;1;0;2;0;0;1;0;1;0;0;2;2;1;2;5;0;2;0;2;1;0;0;0
Vescovato, Roma, 44;1;1;3;1;1;3;3;1;0;1;0;5;2;4;55;1;2;0;0;2;0;4;2;0;11;0;11;2;18;0;0;0;12;1;2;3;2;1;39;0;8;1;2;4;3;0;1;0;1;0;1;11;11;6;7;6;0;1;0;0;0;0;0;3
Cremona, Felice Cavallotti, 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Cremona, Palosca n. 2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Casaletto Vaprio, Maggiore, 7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0;0;0;0;0;0;1;0;0;3;0;1;0;2;0;0;0;1;0;0;0;1;0;7;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
Cremona, Sesto 39;1;1;0;0;0;1;4;0;0;1;0;0;0;0;18;0;0;0;1;0;0;0;1;0;1;0;3;1;1;0;0;0;1;0;0;2;2;1;25;0;0;1;0;0;0;0;1;0;2;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0
