;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Casalpusterlengo, Pusterla 7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castelleone, Roma, 67;12;0;4;4;0;1;1;1;1;7;0;0;0;4;77;9;4;3;0;0;2;0;1;1;2;0;7;1;12;0;0;2;1;2;2;2;2;2;43;0;3;7;1;8;2;0;0;0;2;0;2;11;3;2;6;2;0;1;0;1;0;0;0;8
Castelverde, Ubaldo Ferrari, 15;0;0;1;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;2
Cingia de' Botti, Giuseppina, 79;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;1;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;1;0;1;0;0;8;0;0;2;0;0;0;0;0;0;0;0;1;2;0;0;1;1;0;0;0;0;0;0;0;2
Crema, Civerchi, 9;16;0;15;0;2;8;0;1;0;5;0;5;0;3;0;7;2;5;2;1;1;0;2;0;6;0;6;5;24;1;0;1;7;7;3;1;7;2;153;0;3;9;0;10;0;0;0;0;4;0;0;14;7;9;9;3;0;0;0;4;2;0;0;14
Cremona, Ugolani Dati, 4;37;0;0;0;0;6;0;0;0;1;0;2;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;78;0;1;4;0;0;0;0;0;0;0;0;0;2;1;2;1;0;0;0;0;0;0;0;0;1
Dovera, Oldrini 2;2;0;0;1;0;0;0;0;0;0;0;0;0;1;7;2;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;1;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2
Fiesco, Giuseppe Parini, 10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;4;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;2;0;0;1
Gadesco-Pieve Delmona, Giovanni Lonati 9;0;0;1;2;1;1;0;1;0;0;0;2;0;0;46;1;1;4;0;0;0;0;1;0;1;0;1;2;9;0;0;0;5;1;1;2;3;3;30;0;2;3;0;5;2;0;2;0;0;0;0;1;7;2;3;0;0;1;0;0;0;0;0;5
Grontardo, Roma, 16;1;0;1;0;1;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;1;1;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0
Grumello Cremonese ed Uniti, Roma, 2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Gussola, Comaschi, 1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;9;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;2;0;0;0;11;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1
Isola Dovarese, Giacomo Matteotti, 1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Izano, Gerardo da Izano, 4/C;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Madignano, Portici, 4;2;0;2;3;1;0;0;2;0;0;0;1;0;0;27;4;0;1;0;0;0;0;1;0;0;0;2;0;4;0;0;0;1;1;2;4;1;0;10;0;0;2;0;1;1;0;0;0;1;0;1;4;1;0;1;1;1;0;0;1;0;0;0;3
Martignana di Po, Libertà, 64;0;0;0;0;0;1;0;0;0;0;0;0;0;0;23;1;2;0;0;0;0;0;0;0;3;0;2;2;2;0;0;1;0;3;2;0;0;1;12;0;0;2;0;0;0;0;0;0;0;1;1;9;5;1;0;2;0;0;0;3;0;0;0;2
Monte Cremasco, Roma, 12;1;0;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Montodine,  XXV Aprile, 10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;5;0;0;1;0;0;0;0;0;0;0;0;0;2;2;3;0;0;0;0;0;0;0;0;0;1
Offanengo, Clavelli Martini, 5;24;0;6;8;1;4;1;0;0;4;0;2;0;4;91;8;6;7;1;0;0;1;3;0;11;0;7;8;0;0;0;0;11;9;16;7;4;5;57;0;3;10;0;4;3;0;3;0;2;0;2;24;11;9;3;7;0;1;0;5;1;0;0;11
Ostiano, Mazzini, 1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;3;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;1
Paderno Ponchielli, Municipio, 3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Palazzo Pignano, Marco Polo, 31;3;0;0;0;0;0;0;0;0;1;0;0;0;0;9;3;0;2;0;0;0;0;0;0;2;0;0;2;7;0;0;0;1;0;0;2;0;0;9;0;1;5;0;1;0;0;0;0;0;0;1;3;0;2;0;0;0;0;0;1;0;0;0;3
Pandino, Castello, 15;1;0;0;0;0;1;0;0;0;0;0;0;0;0;20;0;2;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;3;1;2;0;15;0;0;2;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;0;0;0;1;0;0;2
Persico Dosimo, Albert ,7;2;0;1;1;0;0;0;0;0;0;0;0;0;1;6;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;14;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;0;0;0;0;0;0;0;0;0;1
Pescarolo ed Uniti, Giuseppe Mazzini, 73;5;0;2;2;0;1;0;0;0;0;0;0;0;0;6;1;1;1;0;0;1;0;1;0;1;0;0;0;3;0;0;0;0;1;0;0;0;0;12;0;0;1;0;0;0;0;0;0;0;0;0;3;0;2;1;0;0;0;0;0;0;0;0;2
Piadena, Platina, 40;0;0;2;5;2;1;0;0;0;5;0;3;3;4;72;0;1;2;0;0;2;0;4;1;0;0;1;0;10;0;0;1;7;2;3;0;1;3;35;0;6;4;0;4;1;0;4;0;1;0;3;4;4;9;1;5;0;1;0;3;0;0;0;14
Pianengo, Nenni;2;0;0;2;0;0;0;0;0;1;0;0;0;0;19;1;1;0;0;0;0;0;0;0;1;0;1;0;4;0;0;0;2;2;2;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;2;0;0;0;0;0;0;0;2
Pizzighettone, Giuseppe Garibaldi, 18;4;0;0;0;1;2;0;1;0;3;0;1;0;1;20;2;0;4;0;0;0;0;1;0;0;0;2;2;3;0;0;0;1;0;3;0;2;0;28;0;0;2;0;0;1;0;0;0;0;0;1;2;2;0;0;0;2;0;0;0;0;0;0;5
Manerbio, INSURREZIONE NAZIONALE;138;1;60;45;7;57;20;9;3;63;0;37;5;11;1216;70;44;38;2;1;8;4;41;0;55;0;61;22;175;10;0;16;67;65;38;45;44;28;0;0;27;89;0;185;22;0;42;0;27;2;22;198;138;71;36;29;4;10;1;41;8;0;3;107
Viadana, A. Manzoni, 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ricengo, Guglielmo Marconi;1;0;1;1;0;0;0;0;0;1;0;2;0;1;12;2;0;1;1;0;0;0;0;1;0;0;0;0;3;0;1;0;1;0;0;0;2;0;9;0;0;1;0;1;0;0;0;0;0;0;0;3;0;4;2;0;0;0;0;0;0;0;0;1
Ripalta Cremasca, Roma, 5;1;0;2;1;0;0;0;0;0;0;0;1;0;1;17;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;1;0;0;0;0;8;0;0;0;0;1;0;0;1;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rivolta d'Adda, Stefano Renzi, 5;7;0;4;6;0;1;0;1;0;7;0;1;0;0;125;5;4;3;0;1;1;0;2;0;6;0;11;7;15;0;0;3;7;12;4;3;1;4;106;0;3;4;0;0;4;0;3;0;1;0;4;27;20;6;2;1;0;2;0;7;1;0;0;16
Romanengo, Guaiarini, 14;2;0;0;0;0;0;1;0;0;1;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1
San Bassano, Mons. Frosi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
San Giovanni in Croce, Feudatari, 25 A;3;1;1;1;2;0;0;1;0;2;0;1;0;1;26;1;1;4;0;0;1;1;1;0;1;0;1;1;6;1;0;1;3;2;1;2;0;1;18;0;0;3;0;1;1;0;0;0;0;0;2;2;2;6;2;0;0;1;0;0;0;0;0;3
Scandolara Ravara, Italia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sergnano, IV Novembre,  10;10;0;4;1;0;1;1;0;1;4;0;4;0;0;52;13;0;5;0;0;3;0;0;0;2;0;4;1;7;1;0;4;6;4;4;3;1;1;17;0;2;4;0;2;1;0;1;0;0;0;3;9;1;8;2;1;0;2;0;1;0;0;0;5
Sesto ed Uniti, Roma, 4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;3;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3
Solarolo Rainerio, Giuseppina, 81;1;0;0;4;2;1;0;0;0;0;0;0;0;0;20;1;1;1;1;0;0;1;1;0;2;0;2;3;3;0;0;0;0;5;1;1;2;1;6;0;1;1;0;1;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;3;1;0;0;2
Soncino, Dante Alighieri, 23;4;0;1;1;0;0;0;0;0;0;0;0;0;1;20;2;1;1;0;0;0;0;1;0;2;0;2;1;3;0;0;0;0;2;1;1;0;1;23;0;2;1;0;1;1;0;0;0;2;0;1;0;1;1;1;2;0;0;0;0;0;1;0;4
Soresina, Giacomo Matteotti, 6;5;0;0;2;0;0;0;0;0;1;0;2;0;2;16;0;1;2;0;0;1;0;1;0;1;0;1;0;4;0;0;1;0;4;2;1;0;2;14;0;1;3;0;1;2;0;0;0;0;0;0;3;0;3;2;2;0;0;0;0;0;0;0;0
Sospiro, Tosi;0;0;0;1;0;0;0;0;0;1;0;0;0;1;6;0;1;1;0;0;0;0;1;0;1;0;0;0;2;0;0;0;1;0;0;1;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;1
Spino d'Adda, Circonvallazione, 13;11;0;2;1;1;0;0;0;0;1;0;3;0;0;28;3;2;2;0;0;2;0;0;0;2;0;1;1;7;0;0;1;4;3;3;1;1;0;26;0;2;2;0;2;1;0;0;0;0;0;1;5;3;4;0;0;0;0;0;2;0;0;0;8
Trescore Cremasco, Vittorio Veneto, 1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;13;0;1;0;0;0;0;0;0;0;2;0;1;0;5;0;0;0;0;2;0;1;1;0;10;0;0;1;0;0;1;0;0;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;2
Trigolo, Roma, 26;2;0;0;2;0;0;0;0;0;0;0;0;0;0;10;0;2;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;2;2;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;5
Vaiano Cremasco,  Gloriosi Caduti, 3;0;0;1;0;0;0;0;0;0;1;0;0;0;0;7;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Vailate, Dante Alighieri, 7;2;0;0;0;0;1;0;0;0;1;0;0;0;0;11;0;1;0;0;0;0;0;2;0;1;0;1;0;2;0;0;0;1;0;0;0;0;2;11;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Vescovato, Roma, 44;2;0;3;5;2;1;0;0;0;2;0;1;0;2;18;0;1;0;0;0;0;0;3;0;0;0;0;2;6;0;0;0;3;1;4;0;2;1;12;0;1;2;0;3;2;0;1;0;0;0;4;5;2;2;2;0;0;0;0;0;1;0;0;1
Cremona, Felice Cavallotti, 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cremona, Palosca n. 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Casaletto Vaprio, Maggiore, 7;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Cremona, Sesto 39;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;2;0;0;0;0;9;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0
