;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Castelleone, Roma, 67;119;15;94;48;15;55;73;83;11;99;0;298;11;63;1582;0;2;85;61;13;12;16;54;73;11;232;16;194;120;460;3;8;89;312;125;118;120;127;66;864;0;117;146;11;145;41;0;87;0;87;2;65;289;301;164;124;86;43;58;1;57;16;8;6;130
Castelverde, Ubaldo Ferrari, 15;5;0;5;6;0;1;2;1;0;13;0;12;7;2;117;0;1;5;2;0;1;1;2;10;0;5;1;3;2;17;1;0;5;11;8;4;8;7;5;125;0;5;2;0;8;1;0;7;0;7;4;1;25;19;8;7;2;1;3;0;9;2;2;0;7
Cingia de' Botti, Giuseppina, 79;9;0;10;5;2;8;10;1;0;7;0;20;2;1436;147;0;1;12;4;1;5;3;6;7;0;17;2;20;9;57;1;0;5;25;19;9;6;11;2;122;0;5;15;0;12;4;0;16;0;7;1;25;31;27;18;13;9;4;7;1;9;0;0;1;10
Crema, Civerchi, 9;157;35;118;46;17;81;90;39;7;102;0;216;11;50;1417;0;3;93;71;24;14;12;40;73;10;261;11;179;80;591;3;22;102;285;110;109;120;160;64;2540;0;120;184;12;249;51;0;99;0;102;5;59;370;331;179;147;125;53;45;3;83;17;3;6;187
Crema, Dante Alighieri, 49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cremona, Ugolani Dati, 4;1;0;2;1;0;59;4;1;0;2;0;6;0;6;5;0;1;0;0;0;1;1;2;2;0;1;0;2;3;8;0;0;0;8;1;9;1;1;1;7;0;3;2;0;1;2;0;4;0;1;0;2;1;3;1;1;0;0;0;1;41;1;0;0;2
Dovera, Oldrini 2;19;1;12;9;2;8;13;3;1;13;0;23;1;10;247;0;5;30;4;1;0;2;3;13;1;26;0;19;17;84;0;0;5;50;15;14;13;18;9;186;0;17;27;0;16;4;0;11;0;13;1;10;40;23;14;13;12;4;11;0;13;2;1;1;20
Fiesco, Giuseppe Parini, 10;7;2;5;3;2;8;8;3;0;4;0;14;0;3;106;0;3;7;13;2;1;1;6;7;2;7;2;12;3;43;1;0;4;28;10;7;6;9;6;63;0;11;6;1;12;4;0;5;0;0;0;3;24;33;12;9;7;5;8;0;10;3;0;0;5
Gadesco-Pieve Delmona, Giovanni Lonati 9;27;3;29;24;5;11;14;12;0;15;0;37;4;20;453;0;5;18;7;110;3;1;9;19;0;60;9;54;23;117;1;1;9;62;28;25;29;23;28;400;0;30;30;1;38;17;0;40;0;22;4;13;58;78;32;37;51;9;10;0;15;4;2;3;39
Grontardo, Roma, 16;15;0;5;5;2;4;9;3;0;8;0;17;2;8;136;0;1;7;0;3;12;1;5;11;0;25;6;16;15;57;0;1;2;32;10;18;9;11;6;88;0;12;21;1;15;4;0;18;0;1;1;6;35;34;20;14;6;6;6;0;5;1;1;0;8
Grumello Cremonese ed Uniti, Roma, 2;5;2;0;6;0;2;5;0;0;2;0;8;1;5;32;0;4;2;1;1;0;11;0;2;2;10;0;0;4;15;0;2;0;9;7;8;1;1;1;42;0;2;6;0;0;2;0;4;0;4;9;3;3;8;4;2;0;3;1;0;2;0;1;0;2
Gussola, Comaschi, 1;12;2;9;8;2;3;9;2;1;10;0;12;0;16;126;0;1;7;3;0;1;1;26;4;1;15;11;16;8;62;0;0;7;25;12;9;11;7;5;80;0;16;12;1;9;2;0;18;0;5;0;7;24;14;9;9;6;3;11;0;9;2;0;0;11
Isola Dovarese, Giacomo Matteotti, 1;6;0;4;7;3;5;3;2;0;7;0;7;0;8;117;0;1;3;3;0;2;2;0;2;2;7;1;12;7;25;1;0;1;17;8;7;7;5;4;75;0;6;12;1;11;0;0;15;0;3;2;6;33;27;9;9;9;1;4;0;4;2;1;0;4
Izano, Gerardo da Izano, 4/C;4;0;2;0;0;0;4;1;0;3;0;8;1;0;43;0;1;6;2;0;1;1;1;2;2;8;2;10;7;14;0;0;0;13;3;6;5;3;1;45;0;5;4;1;3;0;0;1;0;2;0;2;9;9;6;2;4;0;2;0;5;0;0;1;3
Madignano, Portici, 4;26;1;14;13;2;14;14;3;4;21;0;29;0;10;305;0;1;17;22;5;2;4;9;11;5;58;4;53;15;88;1;0;7;51;14;26;21;23;7;283;0;16;31;1;29;4;0;22;0;15;2;17;46;42;18;17;8;4;12;0;13;1;0;0;22
Martignana di Po, Libertà, 64;15;2;9;7;4;10;15;0;1;14;0;23;2;12;217;0;2;11;1;7;4;1;3;8;0;32;17;16;18;59;2;0;5;32;15;16;11;11;7;179;0;11;25;1;12;10;0;22;0;4;2;6;31;25;18;15;12;0;4;0;9;1;0;1;18
Monte Cremasco, Roma, 12;10;0;8;1;0;5;10;2;0;5;0;17;4;5;137;0;2;4;1;1;4;2;1;4;2;13;0;37;9;48;0;1;10;31;8;5;5;11;3;56;0;12;5;2;9;2;0;7;0;5;0;3;15;27;6;10;9;0;7;0;5;0;0;0;8
Montodine,  XXV Aprile, 10;6;1;4;2;0;2;2;3;0;2;0;4;1;7;62;0;3;5;3;0;0;2;1;1;1;5;1;8;24;19;0;0;2;10;3;4;2;3;2;59;0;1;13;0;6;3;0;1;0;3;0;1;10;13;11;3;2;1;2;0;5;0;0;0;4
Offanengo, Clavelli Martini, 5;138;16;86;55;24;68;89;20;6;70;0;166;8;67;1396;0;2;56;36;19;26;12;41;69;7;230;21;300;152;246;7;0;53;349;120;120;92;100;57;891;0;107;118;8;92;51;1;106;0;76;3;60;300;228;161;116;101;29;58;0;84;10;6;1;118
Ostiano, Mazzini, 1;11;0;7;1;2;4;6;4;0;5;0;11;1;5;124;0;2;4;2;3;2;0;4;11;0;12;1;8;16;36;1;0;1;24;8;18;8;2;2;73;0;5;10;1;7;0;0;15;0;1;0;3;16;11;15;7;6;2;3;0;4;0;1;0;11
Paderno Ponchielli, Municipio, 3;3;0;3;0;0;0;2;1;0;1;0;2;1;1;25;0;0;1;0;0;0;1;1;0;0;0;1;4;0;4;0;0;0;6;2;1;1;0;3;7;0;2;2;0;1;0;0;0;0;1;0;0;2;3;2;1;1;1;0;0;2;0;0;0;2
Palazzo Pignano, Marco Polo, 31;43;6;15;8;5;12;12;9;1;19;0;37;7;11;316;0;1;15;4;5;9;4;8;16;3;48;5;88;35;138;0;0;33;66;24;27;25;33;21;106;0;25;38;0;18;8;0;23;0;18;0;12;67;50;37;35;23;11;11;2;10;2;2;4;20
Pandino, Castello, 15;32;5;25;10;10;15;20;7;1;14;0;42;2;15;364;0;5;17;17;4;1;3;15;8;3;42;1;45;28;130;1;1;15;92;31;29;24;22;19;249;0;16;27;4;28;2;0;26;0;25;3;11;51;36;39;28;16;6;8;0;22;1;1;1;17
Persico Dosimo, Albert ,7;8;1;11;11;2;4;7;6;0;4;0;15;0;10;136;0;6;2;2;2;2;0;5;12;1;14;2;7;10;43;2;0;1;17;15;6;9;16;3;99;0;5;8;1;12;1;0;26;0;5;1;8;29;24;14;3;4;2;7;0;7;0;1;0;19
Pescarolo ed Uniti, Giuseppe Mazzini, 73;37;5;20;20;4;11;24;9;3;20;0;43;2;23;348;0;4;19;10;4;7;5;9;22;0;45;1;51;43;142;0;0;9;64;13;99;26;21;16;170;0;30;30;4;23;12;0;24;0;20;0;16;58;62;33;20;15;9;12;0;14;5;1;0;25
Piadena, Platina, 40;37;1;27;27;4;23;33;15;2;46;0;62;10;34;792;0;2;30;22;3;3;9;19;54;6;65;19;61;30;175;3;1;20;122;56;42;204;53;30;573;0;43;39;4;61;14;0;92;0;27;5;28;134;110;82;48;33;10;22;1;24;4;2;1;83
Pianengo, Nenni;23;2;14;11;1;10;13;1;1;9;0;35;5;7;248;0;7;16;16;2;0;3;8;8;6;35;1;39;13;97;0;1;11;55;18;16;10;58;4;149;0;24;30;2;15;10;0;20;0;13;2;8;56;31;22;14;23;5;9;0;14;3;0;0;14
Pizzighettone, Giuseppe Garibaldi, 18;17;5;24;21;2;12;26;8;0;13;0;36;2;11;386;0;8;11;9;3;3;5;6;17;1;45;2;32;17;116;0;0;7;68;21;30;29;30;80;420;0;22;28;3;31;10;0;23;0;16;5;14;48;49;37;26;15;12;12;0;9;0;2;0;29
Manerbio, INSURREZIONE NAZIONALE;1032;38;760;404;126;619;676;206;22;953;0;1048;94;405;20176;0;31;495;314;130;98;129;286;598;60;1566;133;964;532;3958;53;12;346;1441;987;713;963;694;389;0;0;801;994;40;1723;322;0;741;0;722;69;614;2533;1936;1112;791;698;213;377;33;470;100;42;27;1320
Viadana, A. Manzoni, 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ricengo, Guglielmo Marconi;17;2;11;4;2;7;13;1;1;6;0;18;2;2;152;0;2;6;9;1;0;1;6;5;2;31;1;24;12;48;0;2;4;30;7;11;10;9;8;126;0;20;23;2;16;2;0;10;0;8;0;10;30;21;14;12;12;2;6;0;4;0;0;2;9
Ripalta Cremasca, Roma, 5;5;0;8;1;1;6;4;1;1;5;0;12;0;3;114;0;1;1;4;2;1;0;1;6;0;9;1;8;3;32;0;0;8;14;10;2;2;4;4;130;0;2;15;3;7;3;0;9;0;6;0;3;18;9;10;5;29;3;2;0;2;2;0;0;3
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rivolta d'Adda, Stefano Renzi, 5;108;8;113;53;5;66;66;46;4;102;0;153;13;43;1965;0;5;67;47;21;10;9;22;84;9;204;13;110;85;412;8;4;44;211;151;60;116;84;49;1641;0;91;93;9;153;59;0;65;0;81;5;46;430;272;135;114;63;13;49;1;52;15;5;1;213
Romanengo, Guaiarini, 14;21;2;3;4;0;5;9;1;0;10;0;8;2;9;164;0;2;9;3;2;1;0;5;8;3;30;3;22;7;52;0;1;3;43;11;12;18;12;7;115;0;12;16;1;22;32;0;6;0;21;0;5;38;30;18;17;9;1;5;0;6;2;2;0;15
San Bassano, Mons. Frosi;0;0;1;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0
San Giovanni in Croce, Feudatari, 25 A;26;7;27;14;5;9;27;5;2;16;0;40;2;20;404;0;1;21;14;5;3;5;13;23;0;52;4;47;34;150;3;1;10;65;35;36;26;24;17;242;0;20;38;4;26;16;0;66;0;13;0;18;75;41;48;36;28;6;9;0;18;2;0;0;33
Scandolara Ravara, Italia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sergnano, IV Novembre,  10;87;8;71;38;6;25;63;16;3;61;0;86;10;36;926;0;20;40;23;8;14;17;23;41;3;126;6;148;78;314;6;1;25;157;80;85;80;72;38;364;0;51;92;15;70;31;0;50;0;39;0;36;166;138;80;63;57;10;33;0;53;5;5;2;65
Sesto ed Uniti, Roma, 4;3;1;2;0;1;1;0;0;0;3;0;3;1;2;37;0;1;0;0;0;0;1;0;5;0;1;0;2;0;3;1;0;0;7;4;3;2;3;3;13;0;3;5;0;1;1;0;4;0;4;4;2;8;15;4;2;3;1;1;0;2;0;0;0;5
Solarolo Rainerio, Giuseppina, 81;30;3;22;23;6;20;38;5;0;25;0;55;2;43;456;0;2;21;6;4;14;4;9;20;0;58;7;76;35;156;1;0;7;76;44;27;25;36;28;170;0;25;33;7;28;25;0;47;0;22;1;29;88;52;37;29;23;7;10;1;23;3;0;2;29
Soncino, Dante Alighieri, 23;44;5;21;16;3;13;8;5;2;22;0;30;1;16;362;0;4;14;11;2;5;1;4;16;0;53;1;33;14;101;1;0;14;63;23;23;15;28;10;325;0;19;35;2;38;17;0;20;0;25;0;12;116;73;34;26;20;15;5;0;9;3;3;1;24
Soresina, Giacomo Matteotti, 6;42;14;20;7;2;10;14;28;0;16;0;36;6;11;334;0;6;13;28;6;4;4;12;11;2;52;3;30;19;111;1;2;10;45;19;18;19;28;17;310;0;7;33;1;35;11;0;18;0;24;0;11;56;84;29;26;17;6;12;0;9;4;0;0;23
Sospiro, Tosi;15;0;10;4;1;2;7;0;0;8;0;11;1;8;129;0;1;5;4;0;1;1;3;9;0;15;4;13;12;37;0;0;3;15;9;4;9;13;6;78;0;12;8;0;8;3;0;7;0;12;1;5;17;17;17;12;5;3;1;1;2;0;0;0;13
Spino d'Adda, Circonvallazione, 13;65;9;61;12;6;13;18;13;1;24;0;82;2;27;524;0;1;25;13;4;11;5;18;27;1;69;2;134;42;195;3;1;22;106;34;41;42;48;11;273;0;46;57;4;83;16;0;34;0;24;0;18;126;123;87;48;30;16;19;0;24;6;5;1;47
Trescore Cremasco, Vittorio Veneto, 1;15;3;11;8;1;9;17;4;0;6;0;21;0;2;212;0;5;4;3;3;0;0;5;11;5;34;0;11;8;67;0;0;13;33;13;6;9;20;6;179;0;4;29;1;25;3;0;10;0;15;0;4;25;26;24;7;32;6;4;0;8;3;0;0;23
Trigolo, Roma, 26;16;1;4;9;1;3;8;1;0;4;0;15;1;2;100;0;2;4;4;1;1;2;0;4;3;16;1;17;11;36;0;1;4;12;9;12;11;6;2;33;0;4;12;1;5;3;0;0;0;4;1;0;18;21;11;4;2;18;1;0;1;0;0;0;7
Vaiano Cremasco,  Gloriosi Caduti, 3;5;1;6;6;0;5;12;1;0;4;0;14;0;5;126;0;3;4;0;1;0;1;4;3;0;12;1;15;13;48;0;0;1;23;5;5;3;9;2;105;0;9;10;1;7;4;0;6;0;4;0;5;25;8;8;5;5;2;28;0;6;1;0;1;10
Vailate, Dante Alighieri, 7;20;0;7;2;3;1;8;1;0;4;0;24;2;4;183;0;1;9;7;1;0;3;2;11;1;11;1;13;3;58;0;0;8;22;12;3;9;12;4;187;0;7;17;1;13;3;0;10;0;6;1;4;18;24;18;12;14;5;10;48;9;1;0;0;9
Vescovato, Roma, 44;24;1;26;21;8;13;19;7;0;28;0;41;5;16;319;0;1;11;4;4;9;2;14;16;0;55;2;36;22;87;4;0;11;84;25;38;20;26;14;255;0;29;20;5;45;17;0;24;0;11;1;14;81;56;41;35;13;2;4;1;34;3;0;0;25
Cremona, Felice Cavallotti, 2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;2;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;1;1;0;0;3;1;0;1
Cremona, Palosca n. 2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;1;1;0;0
Casaletto Vaprio, Maggiore, 7;5;1;6;0;1;1;5;0;0;2;0;7;0;2;51;0;2;1;4;0;0;0;1;2;2;8;0;4;3;9;0;0;2;5;4;2;2;7;2;29;0;4;6;0;3;0;0;3;0;1;0;1;4;4;3;4;5;0;1;0;4;0;0;11;1
Cremona, Sesto 39;3;1;2;4;0;4;6;0;0;4;0;3;0;4;101;0;1;0;6;1;2;2;1;4;2;7;0;8;1;19;0;0;0;7;6;2;6;2;2;155;0;3;5;0;11;2;0;8;0;7;0;5;19;10;8;2;4;0;1;0;2;1;0;0;52
